National_VMV_Code,Parameter type code,Long name,Parameter list value,Unique parameter list values
698,4072_00_00_00_14,Acenaphthenes-C1,Water - Hydrocarbons,
699,4402_00_00_00_14,Fluorenes-C1,Water - Hydrocarbons,
700,3742_00_00_00_14,"1,7-dimethylfluorene (1,7-DiMe-fluorene)",Water - Hydrocarbons,
701,4051_00_00_00_14,Fluorenes-C2,Water - Hydrocarbons,
702,4052_00_00_00_14,Fluorenes-C3,Water - Hydrocarbons,
703,4400_00_00_00_14,Dibenzothiophenes-C1,Water - Hydrocarbons,
704,3749_00_00_00_14,2/3-methyldibenzothiophenes (2/3-Me-DBT),Water - Hydrocarbons,
705,3747_00_00_00_14,"2,4-dimethyldibenzothiophene",Water - Hydrocarbons,
706,4054_00_00_00_14,Dibenzothiophenes-C3,Water - Hydrocarbons,
707,4069_00_00_00_14,Dibenzothiophenes-C4,Water - Hydrocarbons,
708,4401_00_00_00_14,Fluoranthenes/pyrenes-C1,Water - Hydrocarbons,
709,1434_00_00_00_14,3-methylfluoranthene/benzo(a)fluorene,Water - Hydrocarbons,
710,4405_00_00_00_14,Fluoranthenes/pyrenes-C2,Water - Hydrocarbons,
711,4408_00_00_00_14,Fluoranthenes/pyrenes-C3,Water - Hydrocarbons,
712,4410_00_00_00_14,Fluoranthenes/pyrenes-C4,Water - Hydrocarbons,
713,3637_00_00_00_14,Benz[a]anthracenes/chrysenes-C1,Water - Hydrocarbons,
714,3755_00_00_00_14,5/6-methylchrysene,Water - Hydrocarbons,
715,3745_00_00_00_14,1-methylchrysene,Water - Hydrocarbons,
716,3752_00_00_00_14,"5,9-dimethylchrysene",Water - Hydrocarbons,
717,3635_00_00_00_14,benz(a)anthracenes/chrysenes-C3,Water - Hydrocarbons,
718,3636_00_00_00_14,benz(a)anthracenes/chrysenes-C4,Water - Hydrocarbons,
719,3638_00_00_00_14,Benzofluoranthenes/benzopyrenes-C1,Water - Hydrocarbons,
720,3754_00_00_00_14,7-methylbenzo(a)pyrene,Water - Hydrocarbons,
953,751_00_00_00_14,Residue volatile filterable,Water - Physical,
1047,443_00_00_00_09,Colour true,Water - Physical,
1050,604_00_00_00_14,Ammonia dissolved,Water - Nutrients,
1336,312_00_00_00_14,Naphthalene,Water - Hydrocarbons,
1337,148_00_00_00_14,Acenaphthylene,Water - Hydrocarbons,
1338,292_00_00_00_14,Acenaphthene,Water - Hydrocarbons,
1339,303_00_00_00_14,Fluorene,Water - Hydrocarbons,
1340,299_00_00_00_14,Phenanthrene,Water - Hydrocarbons,
1341,1270_00_00_00_14,Anthracene,Water - Hydrocarbons,
1342,146_00_00_00_14,Fluoranthene,Water - Hydrocarbons,
1343,1272_00_00_00_14,Pyrene,Water - Hydrocarbons,
1344,155_00_00_00_14,Benzo(a)phenanthrene OR chrysene,Water - Hydrocarbons,
1345,145_00_00_00_14,Benzo(b)fluoranthene,Water - Hydrocarbons,
1346,147_00_00_00_14,Benzo(k)fluoranthene,Water - Hydrocarbons,
1347,137_00_00_00_14,Benzo(e)pyrene,Water - Hydrocarbons,
1348,204_00_00_00_14,Benzo(a)pyrene,Water - Hydrocarbons,
1349,140_00_00_00_14,"Indeno(1,2,3-c,d)pyrene",Water - Hydrocarbons,
1350,212_00_00_00_14,"Dibenzo(a,h)anthracene OR Dibenz(a,h)anthracene",Water - Hydrocarbons,
1351,132_00_00_00_14,"Benzo(g,h,i)perylene",Water - Hydrocarbons,
1352,315_00_00_00_14,2-chloronaphthalene,Water - Hydrocarbons,
1353,92_00_00_00_14,Tetrahydronaphthalene,Water - Hydrocarbons,
1354,3037_00_00_00_01,Naphthalene-D8,Water - Surrogate,
1355,3038_00_00_00_01,Fluorene-D10,Water - Surrogate,
1356,3039_00_00_00_01,Pyrene-D10,Water - Surrogate,
1357,1156_00_00_00_01,Perylene-D12,Water - Surrogate,
1358,1429_00_00_00_14,Naphthalenes-C1,Water - Hydrocarbons,
1359,1077_00_00_00_14,Biphenyl,Water - Hydrocarbons,
1360,4048_00_00_00_14,Naphthalenes-C2,Water - Hydrocarbons,
1361,1317_00_00_00_14,2-isopropylnaphthalene,Water - Hydrocarbons,
1362,1318_00_00_00_14,trimethylnaphthalene,Water - Hydrocarbons,
1363,1319_00_00_00_14,9-methylfluorene,Water - Hydrocarbons,
1364,1320_00_00_00_14,9-ethylfluorene,Water - Hydrocarbons,
1365,4402_00_00_00_14,Fluorenes-C1,Water - Hydrocarbons,
1366,1430_00_00_00_14,Naphthalenes-C4,Water - Hydrocarbons,
1367,1421_00_00_00_14,n-propylfluorene,Water - Hydrocarbons,
1368,1322_00_00_00_14,"1,9-dimethylfluorene",Water - Hydrocarbons,
1369,1323_00_00_00_14,n-butylfluorene,Water - Hydrocarbons,
1370,4400_00_00_00_14,Dibenzothiophenes-C1,Water - Hydrocarbons,
1371,4403_00_00_00_14,Phenanthrenes-C1,Water - Hydrocarbons,
1372,4053_00_00_00_14,Dibenzothiophenes-C2,Water - Hydrocarbons,
1373,1324_00_00_00_14,4-propyldibenzothiophene,Water - Hydrocarbons,
1374,1325_00_00_00_14,"2,4,7-trimethyldibenzothiophene",Water - Hydrocarbons,
1375,4401_00_00_00_14,Fluoranthenes/pyrenes-C1,Water - Hydrocarbons,
1376,3731_00_00_00_14,Phenanthrenes-C3,Water - Hydrocarbons,
1377,1326_00_00_00_14,3-ethylfluoranthene,Water - Hydrocarbons,
1378,1327_00_00_00_14,Tetramethylphenanthrene,Water - Hydrocarbons,
1379,4412_00_00_00_14,Chrysenes-C1,Water - Hydrocarbons,
1380,1329_00_00_00_14,n-propylchrysene,Water - Hydrocarbons,
1381,1330_00_00_00_14,n-butylchrysene,Water - Hydrocarbons,
1382,3730_00_00_00_14,Phenanthrenes-C2,Water - Hydrocarbons,
