CODE,DECIMALS,ABBREV,FULL_NAME,UNITS,NARR,National_VMV_Code
102,2,T PROF,"TEMPERATURE PROFILER, WQP",DEG C,"THE TEMPERATURE PROBE SI PART OF A MULTI-SENSOR PROFILER DESCRIBED IN IN OPERATING INSTRUCTIONS FOR THE WATER QUALITY PROFILER ES-88-001. TEMPERATURE PROFILES WERE BEGUN IN 1983 USING A YSI 524 NEEDLE PROBE. THE INTERFACE ABOARD IS CUSTOM. THE PROBE IS RECALIBRATED AT LEAST ONCE A YEAR IN THE STANDARDS LABORATORY. THE REGRESSION COEFFICIENTS ARE APPLIED TO THE DIGITIZER COUNTS TO OBTAIN THE FINAL READINGS. THE ELECTRONIC BATHYTHERMOGRAPH PROVIDES DIRECT INSTANTANEOUS READOUT AND GRAPHICAL RECORD OF TEMPERATURE VS DEPTH WILLIAMS D.J. MANUAL OF METHODS FOR LIMNOLOGICAL OBSERVATIONS OF THE GREAT LAKES CCIW., BURLINGTON., 1971. REVERSING THERMOMETER TEMPERATURES USED IN EXTRAPOLATING 9 POINT DIGITIZATION DATA HAVE 50 DEGREES ADDED TO INDICATE THAT THEY ARE NOT PART OF THE BT OR EBT PROFILE REPORTED.",4730
104,2,T EBT,TEMPERATURE EBT,DEG C,THE ELECTRONIC BATHYTHERMOGRAPH PROVIDES A DIRECT INSTANTANEOUS READOUT AND GRAPHICAL RECORD OF TEMPERATURES VS DEPTH.,2066
105,1,BT TEMP,BATHYTHERMOGRAPH TEMP,DEG C,WATER TEMPERATURE READ FROM A BATHYTHERMOGRAPH PROFILE PRODUCED BY A MECHANICAL BATHYTHERMOGRAPH. REVERSING THERMOMETER TEMPERATURES USED IN EXTRAPOLATING 9 POINT DIGITIZATION DATA HAVE 50 DEGREES ADDED TO INDICATE THAT THEY ARE NOT PART OF THE BT OR EBT PROFILE REPORTED.,
109,2,T CLASS,TEMPERATURE CLASSIFICATION,DEG C,A TEMPERATURE CLASSIFICATION DENOTES THE AVERAGED DIFFERENCE BETWEEN THE TWO SETS OF THERMOMETER READINGS. IT IS REPORTED ALONG WITH THE AVERAGED REVERSING THERMOMETER TEMPERATURE.,15233
110,2,T SOL,SOLAR RADIATION (DIRECT-DIFFUSE),LANGLEYS,,
111,2,DIRSOL,SOLAR RADIATION (DIRECT),LANGLEYS,,
112,2,DIFSOL,SOLAR RADIATION (DIFFUSE),LANGLEYS,,
113,2,R SOL,SOLAR RADIATION (REFLECTED),LANGLEYS,,
115,2,UT RAD,DOWNARD SOLAR + TERRESTRIAL RADIATION,LANGLEYS,,
116,2,UT RAD,UPWARD SOLAR + TERRESTRIAL RADIATION,LANGLEYS,,
