CODE,DECIMALS,ABBREV,FULL_NAME,UNITS,NARR,National_VMV_Code
473,3,HEPTEPOX,ORGANOCHLORINE PESTICIDE,PPB,"2,3-EPOXY-1,4,5,6,7,8,8-HEPTACHLORO-3A,4,7,7A-TETRAHYDRO-4,7- METHANOINDENE. REF: ANALYTICAL METHODS MANUAL, W.Q.B., I.W.D., OTTAWA 1979",18045
474,3,DIELDRIN,ORGANOCHLORINE PESTICIDE,PPB,"QUANTITATED TO 0.005 PPB BY GAS CHROMATOGRAPHY 1,2,3,4,10,10- HEXACHLORO-EXO-6,7-EPOXY-1,4,4A,5,6,7,8,8A-OCTAHYDRO-1,4-ENDO,EXO- 5,8-DIMETHANONAPHTHALENE. REF: ANALYTICAL METHODS MANUAL, W.Q.B., I.W.D., OTTAWA 1979",18150
475,3,PP-DDD,ORGANOCHLORINE PESTICIDE,PPB,"QUANTITATED TO 0.005 PPB BY GAS CHROMATOGRAPHY 1,1-DICHLORO-2,2-BIS (P-CHLOROPHENYL) ETHANE. REF: ANALYTICAL METHODS MANUAL, W.Q.B., I.W.D., OTTAWA 1979",18010
476,3,PP-DDT,ORGANOCHLORINE PESTICIDE,PPB,"QUANTITATED TO 0.005 PPB BY GAS CHROMATOGRAPHY 1,1,1-TRICHLORO-2, 2- BIS (P-CHLOROPHENYL) ETHANE. REF: ANALYTICAL METHODS MANUAL, W.Q.B., I.W.D., OTTAWA 1979",18000
477,3,PP-DDE,ORGANOCHLORINE PESTICIDE,PPB,"(P-CHLOROPHENYL) ETHYLENE. QUANTITATED TO 0.005 PPB BY GAS CHROMATOGRAPHY 1,1-DICHLORO-2,2-BIS REF: ANALYTICAL METHODS MANUAL, W.Q.B., I.W.D., OTTAWA 1979",18020
478,3,OP-DDT,ORGANOCHLORINE PESTICIDE,PPB,"QUANTITATED TO 0.005 PPB GAS CHROMATOGRAPHY 1,1,1-TRICHLORO -2- 0-CHLOROPHENYL-2-P-CHLOROPHENYL ETHANE. REF: ANALYTICAL METHODS MANUAL, W.Q.B., I.W.D., OTTAWA 1979",18005
479,3,A-CLORDN,ORGANOCHLORINE PESTICIDE,PPB,"QUANTITATED TO 0.005 PPB BY GAS CHROMATOGRAPHY ALPHA-CHLORDANE 1,2,4,5,6,7,8,8-OCTACHLORO-3A,4,7,7A-TETRAHYDRO-4,7-METHANOINDANE, ALPHA ISOMER. REF: ANALYTICAL METHODS MANUAL, W.Q.B., I.W.D., OTTAWA 1979",18060
480,3,G-CLORDN,ORGANOCHLORINE PESTICIDE,PPB,"QUANTITATED TO 0.005 PPB BY GAS CHROMATOGRAPHY GAMMA CHLORDANE. 1,2,4,5,6,7,8,8-OCTACHLORO-3A,4,7,7A-TETRAHYDRO-4,7-METHANOINDANE, GAMMA ISOMER. REF. ANALYTICAL METHODS MANUAL,W.Q.B.,I.W.D.OTTAWA",18065
481,1,PHTO-MIR,PHOTO MIREX,NG/G,"SEDIMENT SAMPLE IS EXTRACTED BY ULTRASONIC METHOD WITH ACETONE HEXANE MIXTURE (1:1), WHICH IS CONCENTRATED BY GOULDEN'S EVAPORATION COLUMN. CONCENTRATED EXTRACT IS CLEANED AND FRACTIONATED ON SILICA GEL COLUMN AND FRACTIONS A AND B ARE COLLECTED WITH HEXANE AND 1:1 MIXTURE OF DICHLOROMETHANE AND HEXANE AS ELUTING SOLVENTS. THESE FRACTIONS ARE CONCENTRATED BY GOULDEN'S EVAPORATION COLUMN AND ANALYSED BY GC-ECD.",102517
482,1,HCBD,HEXACHLOROBUTADIENE,NG/G,"SEDIMENT SAMPLE IS EXTRACTED BY ULTRASONIC METHOD WITH ACETONE HEXANE MIXTURE (1:1), WHICH IS CONCENTRATED BY GOULDEN'S EVAPORATION COLUMN. CONCENTRATED EXTRACT IS CLEANED AND FRACTIONATED ON SILICA GEL COLUMN AND FRACTIONS A AND B ARE COLLECTED WITH HEXANE AND 1:1 MIXTURE OF DICHLOROMETHANE AND HEXANE AS ELUTING SOLVENTS. THESE FRACTIONS ARE CONCENTRATED BY GOULDEN'S EVAPORATION COLUMN AND ANALYSED BY GC-ECD.",96800
483,1,OCSTRN,OCTACHLOROSTYRENE,NG/G,"SEDIMENT SAMPLE IS EXTRACTED BY ULTRASONIC METHOD WITH ACETONE HEXANE MIXTURE (1:1), WHICH IS CONCENTRATED BY GOULDEN'S EVAPORATION COLUMN. CONCENTRATED EXTRACT IS CLEANED AND FRACTIONATED ON SILICA GEL COLUMN AND FRACTIONS A AND B ARE COLLECTED WITH HEXANE AND 1:1 MIXTURE OF DICHLOROMETHANE AND HEXANE AS ELUTING SOLVENTS. THESE FRACTIONS ARE CONCENTRATED BY GOULDEN'S EVAPORATION COLUMN AND ANALYSED BY GC-ECD.",96801
484,3,ENE-DISS,ENDRIN ALDEHYDE-DISSOLVED PHASE,NG/L,"USING WESTAFLIA CENTRIFUGE, EXTRACTED CENTRIFUGATE ONBOARD SHIP USING OSING WESTAFLIA CENTRIFOGE, EXTRACTED CENTRIFOGATE UNBUARD SHIP OSING 1992(LAKE ONTARIO),50L OF WATER PROCESSED. ANALYSIS PERFORMED BY WTC; DETECTION LIMIT 0.13 NG/L. IN 1994(LAKE ERIE),50L OF WATER PROCESSED. ANALYSIS PERFORMED BY NOVAMANN (NLET METHOD),USING GC/ECD AND GC/MSD; DETECTION LIMIT 0.05 NG/L. IN 1995(LAKE ERIE),50L OF WATER PROCESSED. ANALYSIS PERFORMED BY NOVAMANN (SHRADER METHOD),USING GC/ECD & GC/MSD; DETECTION LIMIT 0.05 NG/L. IN 1996 & 1997(LAKE SUPERIOR),100L OF WATER PROCESSED. ANALYSIS PERFORMED BY NOVAMANN (SHRADER METHOD),USING GC/ECD & GC/MSD;DETECTION LIMIT 0.009 NG/L.",102829
485,3,PEC-DISS,HEXACHLOROCYCLOPENTADIENE-DISSOLVED PH,NG/L,"USING WESTFALIA CENTRIFUGE, EXTRACTED CENTRIFUGATE ONBOARD SHIP USING OSING WESTFALIA CENTRIFOGE, EXTRACTED CENTRIFOGATE UNBUARD SHIP OSING 1992(LAKE ONTARIO),50L OF WATER PROCESSED. ANALYSIS PERFORMED BY WTC; DETECTION LIMIT 0.04 NG/L. IN 1994(LAKE ERIE),50L OF WATER PROCESSED. ANALYSIS PERFORMED BY NOVAMANN (NLET METHOD),USING GC/ECD & GC/MSD; DETECTION LIMIT 0.02 NG/L. IN 1995(LAKE ERIE),50L OF WATER PROCESSED. ANALYSIS PERFORMED NY NOVAMANN(SHRADER METHOD),USING GC/ECD & GC/MSD; DETECTION LIMIT 0.02 NG/L. IN 1996 & 1997(LAKE SUPERIOR),100L OF WATER PROCESSED. ANALYSIS PERFORMED BY NOVAMANN(SHRADER METHOD),USING GC/ECD & GC/MSD; DETECTION LIMIT 0.007 NG/L.",102830
486,3,PHTO-MIR,PHOTOMIREX-DISSOLVED PHASE,NG/L,"USING WESTFALIA CENTRIFUGE, EXTRACTED CENTRIFUGATE ONBOARD SHIP USING OSING WESTFALIA CENTRIFOGE, EXTRACTED CENTRIFOGATE UNBUARD SHIP OSING 1992(LAKE ONTARIO),50L OF WATER PROCESSED. ANALYSIS PERFORMED BY WTC; DETECTION LIMIT 0.06 NG/L. IN 1994(LAKE ERIE),50L OF WATER PROCESSED. ANALYSIS PERFORMED BY NOVAMANN(NLET METHOD), USING GC/ECD & GC/MSD; DETECTION LIMIT 0.04 NG/L. IN 1995(LAKE ERIE),50L OF WATER PROCESSED. ANALYSIS PERFORMED BY NOVAMANN(SHRADER METHOD),USING GC/ECD & GC/MSD; DETECTION LIMIT 0.04 NG/L. IN 1996 & 1997(LAKE SUPERIOR),100L OF WATER PROCESSED. ANALYSIS PERFORMED BY NOVAMANN(SHRADER METHOD),USING GC/ECD & GC/MSD; DETECTION LIMIT 0.018 NG/L.",102831
487,3,HCBD-D,HEXACHLOROBUTADIENE-DISSOLVED PHASE,NG/L,"USING WESTFALIA CENTRIFUGE, EXTRACTED CENTRIFUGATE ONBOARD SHIP USING OSING WESTFALIA CENTRIFOGE, EXTRACTED CENTRIFOGATE UNBUARD SHIP OSING 1992(LAKE ONTARIO),50L OF WATER PROCESSED. ANALYSIS PERFORMED BY WTC; DETECTION LIMIT 0.04 NG/L. IN 1994(LAKE ERIE),50L OF WATER PROCESSED. ANALYSIS PERFORMED BY NOVAMANN(NLET METHOD), USING GC/ECD & GC/MSD; DETECTION LIMIT 0.03 NG/L. IN 1995(LAKE ERIE),50L OF WATER PROCESSED. ANALYSIS PERFORMED BY NOVAMANN(SHRADER METHOD), USING GC/ECD & GC/MSD; DETECTION LIMIT 0.03 NG/L.IN 1996 & 1997(LAKE SUPERIOR),100L OF WATER PROCESSED. ANALYSIS PERFORMED BY NOVAMANN(SHRADER METHOD),USING GC/ESD & GC/MSD; DETECTION LIMIT 0.005 NG/L.",102832
488,2,OCS-DISS,OCTACHLOROSTYRENE-DISSOLVED PHASE,NG/L,"USING WESTFALIA CENTRIFUGE, EXTRACTED CENTRIFUGE ONBOARD SHIP USING OSING WESTFALIA CENTRIFOGE, EXTRACTED CENTRIFOGE UNBUARD SHIP OSING 1992(LAKE ONTARIO),50L OF WATER PROCESSED. ANALYSIS PERFORMED BY WTC; DETECTION LIMIT 0.07 NG/L. IN 1994(LAKE ERIE),50L OF WATER PROCESSED. ANALYSIS PERFORMED BY NOVAMANN(NLET METHOD), USING GC/ECD & GC/MSD; DETECTION LIMIT 0.05 NG/L. IN 1995(LAKE ERIE),50L OF WATER PROCESSED. ANALYSIS PERFORMED BY NAVAMANN(SHRADER METHOD), USING GC/ECD & GC/MSD; DETECTION LIMIT 0.05 NG/L. IN 1996 & 1997(LAKE SUPERIOR),100L OF WATER PROCESSED. ANALYSIS PERFORMED BY NOVAMANN(SHRADER METHOD),USING GC/ECD & GC/MSD; DETECTION LIMIT 0.02 NG/L.",102833
489,1,MOIST-S,MOISTURE,PERCENT,A KNOWN QUANTITY OF WET SEDIMENT SAMPLE IS DRIED IN AN OVEN AT 105 DEGREES CENTIGRADE. THE LOSS IN WEIGHT IS MOISTURE AND FROM THAT PERCENT MOISTURE IS CALCULATED.,97400
490,2,"2,4,5,-T",PHENOXY ACID HERBICIDE,PPB,"QUANTITATED TO 0.01 PPB BY GAS CHROMATOGRAPHY 2,4,5- TRICHLOROPHENOXYACETIC ACID. REF: ANALYTICAL METHODS MANUAL, W.Q.B., I.W.D., OTTAWA 1979",
491,2,SILVEX,PHENOXY ACID HERBICIDE,PPB,"QUANTITATED TO 0.01 PPB BY GAS CHROMATOGRAPHY   2,4,5- TRICHLOROPHENOXY PROPIONIC ACID. REF: ANALYTICAL METHODS MANUAL, W.Q.B., I.W.D., OTTAWA 1979",
492,2,"2,4,-D",PHENOXY ACID HERBICIDE,PPB,"QUANTITATED TO 0.01 PPB BY GAS CHROMATOGRAPHY 2,4- DICHLOROPHENOXYACETIC ACID. REF: ANALYTICAL METHODS MANUAL, W.Q.B., I.W.D., OTTAWA 1979",
493,2,MCPA,PHENOXY ACID HERBICIDE,PPB,"QUANTITATED TO 0.05 PPB BY GAS CHROMATOGRAPHY 2-METHYL-4- CHLOROPHENOXY ACETIS ACID. REF: ANALYTICAL METHODS MANUAL, W.Q.B., I.W.D., OTTAWA 1979",
494,2,WEIGHT,"WEIGHT,DRY",GRAMS,"A KNOWN QUANTITY OF WET SEDIMENT SAMPLE IS DRIED IN AN OVEN AT 105 DEGREES CENTIGRADE. FROM THE LOSS IN WEIGHT MOISTURE CONTENT IS DETERMINED FOR THE WET SEDIMENT.FROM THE WEIGHT OF WET SEDIMENT TAKEN, DRY WEIGHT IS CALCULATED AND THAT WEIGHT IS USED AS WEIGHT OF SAMPLE.",97374
495,1,SILVEX,"2-(2,4,5-TRICHLOROPHENOXY)PROPIONIC ACID",NG/L,"SAMPLES (LARGE VOLUME) ARE ACIDIFIED THEN EXTRACTED IN THE FIELD UTILIZING A GOULDEN VOLUME EXTRACTOR USING DICHLOROMETHANE. THE EXTRACTS ARE RETURNED TO THE LABORATORY TO BE DERIVATIZED WITH PENTAFLUOROBENZYL BROMIDE(PFBBR) TO THE CORRESPONDING ESTER, CLEANED UP AND THEN ANALYSED BY DUAL CAPILLARY GAS CHROMATOGRAPHY/ELECTRON CAPTURE DETECTION (GC/ECD) FOR 11 ACID HERBICIDES.",96947
496,1,MCPA,4-CHLORO-2-METHYL PHENOXY ACETIC ACID,NG/L,"SAMPLES (LARGE VOLUME) ARE ACIDIFIED THEN EXTRACTED IN THE FIELD UTILIZING A GOULDEN LARGE VOLUME EXTRACTOR USING DICHLOROMETHANE. THE EXTRACTS ARE RETURNED TO THE LABORATORY TO BE DERIVATIZED WITH PENTAFLUOROBENZYL BROMIDE (PFBBR) TO THE CORRESPONDING ESTER,CLEANED UP AND THEN ANALYSED BY DUAL CAPILLARY GAS CHROMATOGRAPHY/ELECTRON CAPTURE DETECTION (GC/ECD) FOR 11 ACID HERBICIDES.",96942
497,1,MCPB,4-(4-CHLORO-2-METHYL-PHENOXY)BUTYRIC,NG/L,"SAMPLES (LARGE VOLUME) ARE ACIDIFIED THEN EXTRACTED IN THE FIELD UTILIZING A GOULDEN LARGE VOLUME EXTRACTOR USING DICHLOROMETHANE. THE EXTRACTS ARE RETURNED TO THE LABORATORY TO BE DERIVATIZED WITH PENTAFLUOROBENZYL BROMIDE (PFBBR) TO THE CORRESPONDING ESTER, CLEANED UP AND THEN ANALYSED BY DUAL CAPILLARY GAS CHROMATOGRAPHY/ELECTRON CAPTURE DETECTION (GC/ECD) FOR 11 ACID HERBICIDES.",96949
498,1,23-D,"2,3-DICHLOROPHENOXYACETIC ACID",PERCENT,"SAMPLES (LARGE VOLUME) ARE ACIDIFIED THEN EXTRACTED IN THE FIELD UTILIZING A GOULDEN LARGE VOLUME EXTRACTOR USING DICHLOROMETHANE. THE EXTRACTS ARE RETURNED TO THE LABORATORY TO BE DERIVATIZED WITH PENTAFLUOROBENZYL BROMIDE (PFBBR) TO THE CORRESPONDING ESTER, CLEANED UP AND THEN ANALYSED BY DUAL CAPILLARY GAS CHROMATOGRAPHY/ELECTRON CAPTURE DETECTION (GC/ECD) FOR 11 ACID HERBICIDES.",
499,1,24-D,"2,4-DICHLOROPHENOXYACETIC ACID",NG/L,"SAMPLES (LARGE VOLUME) ARE ACIDIFIED THEN EXTRACTED IN THE FIELD UTILIZING A GOULDEN LARGE VOLUME EXTRACTOR USING DICHLOROMETHANE. THE EXTRACTS ARE RETURNED TO THE LABORATORY TO BE DERIVATIZED WITH PENTAFLUOROBENZYL BROMIDE (PFBBR) TO THE CORRESPONDING ESTER, CLEANED UP AND THEN ANALYSED BY DUAL CAPILLARY GAS CHROMATOGRAPHY/ELECTRON CAPTURE DETECTION (GC/ECD) FOR 11 ACID HERBICIDES.",96945
500,4,BHD-WW,ALPHA-BHC-WHOLE WATER,NG/L,"20-50L Whole water sample is extracted onboard ship by Goulden Large Volume Extractor. After concentration, DCM extract is cleaned and fractionated on silica-gel column-2 fractions, concentrated to a final volume of 1ml in iso-octane. Both fractions analyzed by GC.In 1986 - 1990, 37L processed on Erie and Ontario, 55L on Superior and Huron. Analysis performed by NLET; detection limit 0.3 ng/l",96014
501,4,LIN-WW,LINDANE-WHOLE WATER,NG/L,"20-50L Whole water sample is extracted onboard ship by Goulden Large Volume Extractor. After Concentration, DCM extract is cleaned and fractionated on silica-gel column-2 fractions, concentrated to a final volume of 1ml in iso-octane. Both fractions analyzed by GC.In 1986 - 1990,37L processed on Erie and Ontario, 55L on Superior and Huron. Analysis performed by NLET; detection limit 0.14 ng/L.",96013
502,4,HEP-WW,HEPTACHLOR-WHOLE WATER,NG/L,"20-50L whule water sample is extracted unbuard ship by Goulden Large Volume Extractor. After concentration,DCM extract is cleaned and fractionated on silica-gel column-2 fractions, concentrated to a final volume of 1mL in iso-octane. Both fractions analyzed by GC. In 1986 - 1990, 37L processed on Erie and Ontario, 55L on Superior and Huron. Analysis performed by NLET; detection limit 0.03 ng/L.",96007
503,4,HEX-WW,HEPTACHLOR-EPOXIDE-WHOLE WATER,NG/L,"20-50L Whule water sample is extracted unbuard ship by Goulden Large Volume Extractor. After concentration, DCM extract is cleaned and fractionated on silica-gel column-2 fractions, concentrated to a final volume of 1mL in iso-octane. Bothe fractions analyzed by GC.In 1986 - 1990, 37L processed on Erie and Ontario, 55L on Superior and Huron. Analysis performed by NLET; detection limit 0.02 ng/L.",96008
504,4,ALD-WW,ALDRIN-WHOLE WATER,NG/L,"20-50L whule water sample is extracted unbuard ship by Goulden Large Volume Extractor. After concentration, DCM extract is cleaned and fractionated on silica-gel column-2 fractions, concentrated to a final volume of 1 mL ins iso-octane. Both fractions analyzed by GC.In 1986 - 1990, 37L processed on Erie and Ontario, 55L on Superior and Huron. Analysis performed by NLET; detection limit 0.01 ng/L.",96016
505,4,DEO-WW,DIELDRIN-WHOLE WATER,NG/L,"20-50L whule water sample is extracted unbuard ship by Goulden Large Volume Extractor. After concentration, DCM extract is cleaned and fractionated on silica-gel column-2 fractions, concentrated to a final volume of 1mL in iso-octane. Both fractions analyzed by GC. In 1986 - 1990, 37L processed on Erie and Ontario, 55L on Superior and Huron. Analysis performed by NLET; detection limit 0.05 ng/L.",96018
506,4,END-WW,ENDRIN-WHOLE WATER,NG/L,"20-50L Whule water sample is extracted unbuard ship by Goulden Large Volume Extractor. After concentration, DCM extract is cleaned by fractionated on silica-gel column-2 fractions, concentrated to a final volume of 1mL in iso-octane. Both fractions analyzed by GC. In 1986 - 1990, 37L processed on Erie and Ontario, 55L on Superior and Huron. Analysis performed by NLET; detection limit 0.03 ng/L.",96017
507,4,MEY-WW,METHOXYCHLOR-WHOLE WATER,NG/L,"20-50L Whule water sample is extracted unbuard ship by Goulden Large Volume Extractor. After concentration, DCM extract is cleaned and fractionated on silica-gel column-2 fractions, concentrated to a final volume of 1mL in iso-octane. Both fractions analyzed by GC. In 1986 - 1990, 37L processed on Erie and Ontario, 55L on Superior and Huron. Analysis performed by NLET; detection limit 0.22 ng/L.",96006
508,4,CHA-WW,ALPHA-CHLORDANE-WHOLE WATER,NG/L,"20-50L Whule water sample is extracted unbuard ship by Goulden Large Volume Extractor. After concentration, DCM extract is cleaned and fractionated on silica-gel column-2 fractions, concentrated to a final volume of 1mL in iso-octane. Both fractions analyzed by GC. In 1986 - 1990, 37L processed on Erie and Ontario, 55L on Superior and Huron. Analysis performed by NLET; detection limit 0.06 ng/L.",96011
509,4,CHC-WW,GAMMA-CHLORDANE-WHOLE WATER,NG/L,"20-50L Whule water sample is extracted unbuard ship by Goulden Large Volume Extractor. After concentration, DCM extract is cleaned and fractionated on silica-gel column-2 fractions, concentrated to a final volume of 1mL in iso-octane. Both fractions analyzed by GC. In 1986 - 1990, 37L processed on Erie and Ontario, 55L on Superior and Huron. Analysis performed by NLET;detection limit 0.03 ng/L.",96012
510,4,EMX-WW,ALPHA-ENDOSULPHAN-WHOLE WATER,NG/L,"20-50L Whule water sample is extracted unbuard ship by Goulden Large Volume Extractor. After concentration, DCM extract is cleaned and fractionated on silica-gel column-2 fractions, concentrated to a final volume of 1mL in iso-octane. Both fractions analyzed by GC. In 1986 - 1990, 37L processed on Erie and Ontario, 55L on Superior and Huron. Analysis performed by NLET; detection limit 0.02 ng/L.",96009
511,4,EMY-WW,BETA-ENDOSULPHAN-WHOLE WATER,NG/L,"20-50L Whule water sample is extracted unbuard ship by Goulden Large Volume Extractor. After concentration, DCM extract is cleaned and fractionated on silica-gel column-2 fractions, concentrated to a final volume of 1 mL in iso-octane. Both fractions analyzed by GC. In 1986 - 1990, 37L processed on Erie and Ontario, 55L on Superior and Huron. Analysis performed by NLET;detection limit 0.06 ng/L.",96010
512,4,DDE-WW,"P,P'-DDE-WHOLE WATER",NG/L,"20-50L Whule water sample is extracted unbuard ship by Goulden Large Volume Extractor. After concentration, DCM extract is cleaned and fractionated on silica-gel column-2 fractions, concentrated to a final volume of 1 mL in iso-octane. Both fractions analyzed by GC. In 1986 - 1990, 37L processed on Erie and Ontario, 55L on Superior and Huron. Analysis performed by NLET; detection limit 0.06 ng/L.",96005
513,4,DDO-WW,"O,P-DDT-WHOLE WATER",NG/L,"20-50L Whule water sample is extracted unbuard ship by Goulden Large Volume Extractor. After concentration, DCM extract is cleaned and fractionated on silica-gel column-2 fractions, concentrated to a final volume of 1 mL in iso-octane. Both fractions analyzed by GC. In 1986 - 1990, 37L processed on Erie and Ontario, 55L on Superior and Huron. Analysis performed by NLET; detection limit 0.09 ng/L.",96003
514,4,DDP-WW,"P,P'-DDT-WHOLE WATER",NG/L,"20-50L Whule water sample is extracted unbuard ship by Goulden Large Volume Extractor. After concentration, DCM extract is cleaned and fractionated on silica-gel column-2 fractions, concentrated to a final volume of 1mL in iso-octane. Both fractions analyzed by GC. In 1986 - 1990, 37L processed on Erie and Ontario, 55L on Superior and Huron. Analysis performed by NLET; detection limit 0.10 ng/L.",96002
515,4,TDP-WW,"P,P'-TDE-WHOLE WATER",NG/L,"20-50L Whule water sample is extracted unbuard ship by Goulden Large Volume Extractor. After concentration, DCM extract is cleaned and fractionated on silica-gel column-2 fractions, concentrated to a final volume of 1mL in iso-octane. Both fractions analyzed by GC. In 1986 - 1990, 37L processed on Erie and Ontario, 55L on Superior and Huron. Analysis performed by NLET; detection limit 0.10 ng/L.",96004
516,4,MIR-WW,MIREX-WHOLE WATER,NG/L,"20-50L Whule water sample is extracted unbuard ship by Goulden Large Volume Extractor. After concentration, DCM extract is cleaned and fractionated on silica-gel column-2 fractions, concentrated to a final volume of 1mL in iso-octane. Both fractions analyzed by GC. In 1986 - 1990, 37L processed on Erie and Ontario, 55L on Superior and Huron. Analysis performed by NLET; detection limit 0.04 ng/L.",96015
517,4,PCB-WW,POLYCHLORINATED BIPHENYLS-WHOLE WATER,NG/L,"20-50L Whule water sample is extracted unbuard ship by Goulden Large Volume Extractor. After concentration, DCM extract is cleaned and fractionated on silica-gel column-2 fractions, concentrated to a final volume of 1mL in iso-octane. Both fractions analyzed by GC. In 1986 - 1990, 37L processed on Erie and Ontario, 55L on Superior and Huron. Analysis performed by NLET; detection limit 0.81 ng/L.",96019
518,0,"1,3-DBB","1,3-DIBROMOBENZENE",PERCENT,SEDIMENT SAMPLE IS EXTRACTED ULTRASONICALLY WITH ACETONE HEXANE WHICH IS BACK EXTRACTED IN DICHLOROMETHANE AND CONCENTRATED.THE CONCENTRATED EXTRACT IS CLEANED UP AND FRACTIONATED ON SILICA GEL COLUMN. FRACTIONS A AND B ARE ANALYZED BY GC-ECD (SURROGATES).,
519,0,135-TRBB,"1,3,5-TRIBROMOBENZENE",PERCENT,SEDIMENT SAMPLE IS EXTRACTED ULTRASONICALLY WITH ACETONE HEXANE WHICH IS BACK EXTRACTED IN DICHLOROMETHANE AND CONCENTRATED.THE CONCENTRATED EXTRACT IS CLEANED UP AND FRACTIONATED ON SILICA GEL COLUMN. FRACTIONS A AND B ARE ANALYZED BY GC-ECD (SURROGATES).,
520,0,1245TRBB,"1,2,4,5-TETRABROMOBENZENE",PERCENT,SEDIMENT SAMPLE IS EXTRACTED ULTRASONICALLY WITH ACETONE HEXANE WHICH IS BACK EXTRACTED IN DICHLOROMETHANE AND CONCENTRATED.THE CONCENTRATED EXTRACT IS CLEANED UP AND FRACTIONATED ON SILICA GEL COLUMN. FRACTIONS A AND B ARE ANALYZED BY GC-ECD (SURROGATES).,
521,0,2356TCBP,"2,3,5,6-TETRACHLOROBIPHENYL",PERCENT,SEDIMENT SAMPLE IS EXTRACTED ULTRASONICALLY WITH ACETONE HEXANE WHICH IS BACK EXTRACTED IN DICHLOROMETHANE AND CONCENTRATED.THE CONCENTRATED EXTRACT IS CLEANED UP AND FRACTIONATED ON SILICA GEL COLUMN. FRACTIONS A AND B ARE ANALYZED BY GC-ECD (SURROGATES).,
522,0,D-BHC,DELTA BHC,PERCENT,SEDIMENT SAMPLE IS EXTRACTED ULTRASONICALLY WITH ACETONE HEXANE WHICH IS BACK EXTRACTED IN DICHLOROMETHANE AND CONCENTRATED.THE CONCENTRATED EXTRACT IS CLEANED UP AND FRACTIONATED ON SILICA GEL COLUMN. FRACTIONS A AND B ARE ANALYZED BY GC-ECD (SURROGATES).,
523,0,END-KETO,ENDRIN KETONE,PERCENT,SEDIMENT SAMPLE IS EXTRACTED ULTRASONICALLY WITH ACETONE HEXANE WHICH IS BACK EXTRACTED IN DICHLOROMETHANE AND CONCENTRATED.THE CONCENTRATED EXTRACT IS CLEANED UP AND FRACTIONATED ON SILICA GEL COLUMN. FRACTIONS A AND B ARE ANALYZED BY GC-ECD (SURROGATES).,
524,0,FLO,FLUORANTHENE,NG/G,"SEDIMENT SAMPLE IS EXTRACTED USING ULTRASONIC EQUIPMENT WITH A MIXTURE OF ACETONE AND HEXANE WHICH IS THEN BACK EXTRACTED WITH DICHLOROMETHANE. THE EXTRACT IS CONCENTRATED, CLEANED AND FRACTIONATED ON SILICA GEL COLUMN. FRACTIONS A AND B ARE COLLECTED,CONCENTRATED AND THEN COMBINED. COMBINED EXTRACTS ARE ANALYZED USING GC-MSD.",
525,0,B(K/B)FL,BENZO(K/B)FLUORANTHENE,NG/G,"SEDIMENT SAMPLE IS EXTRACTED USING ULTRASONIC EQUIPMENT WITH A MIXTURE OF ACETONE AND HEXANE, WHICH IS THEN BACK EXTRACTED WITH DICHLOROMETHANE. THE EXTRACT IS CONCENTRATED, CLEANED AND FRACTIONATED ON SILICA GEL COLUMN. FRACTIONS A AND B ARE COLLECTED,CONCENTRATED AND THEN COMBINED. COMBINED EXTRACTS ARE ANALYZED USING GC-MSD.",
526,0,B(K)FL,BENZO(K)FLUORANTHENE,NG/G,"SEDIMENT SAMPLE IS EXTRACTED USING ULTRASONIC EQUIPMENT WITH A MIXTURE OF ACETONE AND HEXANE, WHICH IS THEN BACK EXTRACTED WITH DICHLOROMETHANE. THE EXTRACT IS CONCENTRATED,CLEANED AND FRACTIONATED ON SILICA GEL COLUMN. FRACTIONS A AND B ARE COLLECTED, CONCENTRATED AND THEN COMBINED. COMBINED EXTRACTS ARE ANALYZED USING GC-MSD.",
527,0,BAPY,BENZO(A)PYRENE,NG/G,"SEDIMENT SAMPLE IS EXTRACTED USING ULTRASONIC EQUIPMENT WITH A MIXTURE OF ACETONE AND HEXANE, WHICH IS THEN BACK EXTRACTED WITH DICHLOROMETHANE. THE EXTRACT IS CONCENTRATED, CLEANED AND FRACTIONATED ON SILICA GEL COLUMN. FRACTIONS A AND B ARE COLLECTED,CONCENTRATED AND THEN COMBINED. COMBINED EXTRACTS ARE ANALYZED USING GC-MSD.",
528,0,IDPY,"INDENO(1,2,3-CD)PYRENE",NG/G,"SEDIMENT SAMPLE IS EXTRACTED USING ULTRASONIC EQUIPMENT WITH A MIXTURE OF ACETONE AND HEXANE, WHICH IS THEN BACK EXTRACTED WITH DICHLOROMETHANE. THE EXTRACT IS CONCENTRATED, CLEANED AND FRACTIONATED ON SILICA GEL COLUMN. FRACTIONS A AND B ARE COLLECTED,CONCENTRATED AND THEN COMBINED. COMBINED EXTRACTS ARE ANALYZED USING GC-MSD.",
529,0,BFH,BENZO(GHI)PERYLENE,NG/G,"SEDIMENT SAMPLE IS EXTRACTED USING ULTRASONIC EQUIPMENT WITH A MIXTURE OF ACETONE AND HEXANE, WHICH IS THEN BACK EXTRACTED WITH DICHLOROMETHANE. THE EXTRACT IS CONCENTRATED, CLEANED AND FRACTIONATED ON SILICA GEL COLUMN. FRACTIONS A AND B ARE COLLECTED,CONCENTRATED AND THE COMBINED. COMBINED EXTRACTS ARE ANALYZED USING GC-MSD.",
