Hydstra code,Long name,Name,Analysis method (Short name),Unit short name
4400,"2,3',4',5/2,3',4',5'-tetrachlorobiphenyl (PCB 70/76)",1577_00_00_00_14,3685,WISKI_NGL
1827,"2,3',4',5/2,3',4',5'-tetrachlorobiphenyl (PCB 70/76)",1577_00_00_00_14,259,WISKI_NGL
1828,"2,4,4',5-tetrachlorobiphenyl (PCB 74)",1578_00_00_00_14,259,WISKI_NGL
7949,"2,4,4',5-tetrachlorobiphenyl (PCB 74)",1578_00_00_00_14,1435,WISKI_PGL
7796,"2,4,4',5-tetrachlorobiphenyl (PCB 74)",1578_00_00_00_14,706n1,WISKI_NGL
61414,"2,4,4',5-tetrachlorobiphenyl (PCB 74)",1578_00_00_00_14,706n2,WISKI_NGL
60312,"2,4,4',5-tetrachlorobiphenyl (PCB 74)",1578_00_00_00_14,4300,WISKI_PGL
49168,"3,3'4,4'-tetrachlorobiphenyl (PCB 77)",1090_00_00_00_14,3227,WISKI_PGL
4409,"3,3'4,4'-tetrachlorobiphenyl (PCB 77)",1090_00_00_00_14,3685,WISKI_NGL
4120,"3,3'4,4'-tetrachlorobiphenyl (PCB 77)",1090_00_00_00_14,3684,WISKI_PGL
1829,"3,3'4,4'-tetrachlorobiphenyl (PCB 77)",1090_00_00_00_14,259,WISKI_NGL
14228,"3,3'4,4'-tetrachlorobiphenyl (PCB 77)",1090_00_00_00_14,4406,WISKI_PGL
1830,"1-chloro-4-(2-chlorophenyl)benzene/1,2-dichloro-3-phenylbenzene (PCB 8/5)",1273_00_00_00_14,259,WISKI_NGL
4355,"1-chloro-4-(2-chlorophenyl)benzene/1,2-dichloro-3-phenylbenzene (PCB 8/5)",1273_00_00_00_14,3685,WISKI_NGL
4119,"3,4,4',5-tetrachlorobiphenyl (PCB 81)",4549_00_00_00_14,3684,WISKI_PGL
4408,"3,4,4',5-tetrachlorobiphenyl (PCB 81)",4549_00_00_00_14,3685,WISKI_NGL
1831,"3,4,4',5-tetrachlorobiphenyl (PCB 81)",4549_00_00_00_14,259,WISKI_NGL
14232,"3,4,4',5-tetrachlorobiphenyl (PCB 81)",4549_00_00_00_14,4406,WISKI_PGL
14233,"2,2',3,3',4-pentachlorobiphenyl (PCB 82)",4417_00_00_00_14,4406,WISKI_PGL
1832,"2,2',3,3',4-pentachlorobiphenyl (PCB 82)",4417_00_00_00_14,259,WISKI_NGL
7951,"2,2',3,3',4-pentachlorobiphenyl (PCB 82)",4417_00_00_00_14,1435,WISKI_PGL
4249,"2,2',3,3',4-pentachlorobiphenyl (PCB 82)",4417_00_00_00_14,3684,WISKI_PGL
4433,"2,2',3,3',4-pentachlorobiphenyl (PCB 82)",4417_00_00_00_14,3685,WISKI_NGL
7797,"2,2',3,3',4-pentachlorobiphenyl (PCB 82)",4417_00_00_00_14,706n1,WISKI_NGL
60314,"2,2',3,3',4-pentachlorobiphenyl (PCB 82)",4417_00_00_00_14,4300,WISKI_PGL
61416,"2,2',3,3',4-pentachlorobiphenyl (PCB 82)",4417_00_00_00_14,706n2,WISKI_NGL
1833,"2,2',3,3',5-pentachlorobiphenyl (PCB 83)",1570_00_00_00_14,259,WISKI_NGL
1834,"1,2,4-trichloro-3-(2,3-dichlorophenyl)benzene (PCB 84)",1274_00_00_00_14,259,WISKI_NGL
4238,"1,2,4-trichloro-3-(2,3-dichlorophenyl)benzene (PCB 84)",1274_00_00_00_14,3684,WISKI_PGL
14235,"1,2,4-trichloro-3-(2,3-dichlorophenyl)benzene (PCB 84)",1274_00_00_00_14,4406,WISKI_PGL
4420,"1,2,4-trichloro-3-(2,3-dichlorophenyl)benzene (PCB 84)",1274_00_00_00_14,3685,WISKI_NGL
1835,"2,2',3,4,4'-pentachlorobiphenyl (PCB 85)",1568_00_00_00_14,259,WISKI_NGL
1836,"1,2,3,4-tetrachloro-5-(2-chlorophenyl)benzene/1,2,4-trichloro-5-(2,3-dichlorophenyl)benzene (PCB 86/97)",1275_00_00_00_14,259,WISKI_NGL
4427,"1,2,3,4-tetrachloro-5-(2-chlorophenyl)benzene/1,2,4-trichloro-5-(2,3-dichlorophenyl)benzene (PCB 86/97)",1275_00_00_00_14,3685,WISKI_NGL
1837,"1,2,3-trichloro-4-(2,6-dichlorophenyl)benzene/1,2,4-trichloro-5-(2,5-dichlorophenyl)benzene (PCB 89/101)",1276_00_00_00_14,259,WISKI_NGL
1838,"2,2',3,4',6-pentachlorobiphenyl (PCB 91)",1574_00_00_00_14,259,WISKI_NGL
4418,"2,2',3,4',6-pentachlorobiphenyl (PCB 91)",1574_00_00_00_14,3685,WISKI_NGL
4419,"1,2,5-trichloro-3-(2,5-dichlorophenyl)benzene (PCB 92)",1277_00_00_00_14,3685,WISKI_NGL
1839,"1,2,5-trichloro-3-(2,5-dichlorophenyl)benzene (PCB 92)",1277_00_00_00_14,259,WISKI_NGL
4241,"1,2,5-trichloro-3-(2,5-dichlorophenyl)benzene (PCB 92)",1277_00_00_00_14,3684,WISKI_PGL
14238,"1,2,5-trichloro-3-(2,5-dichlorophenyl)benzene (PCB 92)",1277_00_00_00_14,4406,WISKI_PGL
7953,"2,2',3,5',6-Pentachlorobiphenyl (PCB 95)",1575_00_00_00_14,1435,WISKI_PGL
1840,"2,2',3,5',6-Pentachlorobiphenyl (PCB 95)",1575_00_00_00_14,259,WISKI_NGL
7799,"2,2',3,5',6-Pentachlorobiphenyl (PCB 95)",1575_00_00_00_14,706n1,WISKI_NGL
61418,"2,2',3,5',6-Pentachlorobiphenyl (PCB 95)",1575_00_00_00_14,706n2,WISKI_NGL
60316,"2,2',3,5',6-Pentachlorobiphenyl (PCB 95)",1575_00_00_00_14,4300,WISKI_PGL
60317,"2,2',4,4',5-pentachlorobiphenyl (PCB 99)",1571_00_00_00_14,4300,WISKI_PGL
61419,"2,2',4,4',5-pentachlorobiphenyl (PCB 99)",1571_00_00_00_14,706n2,WISKI_NGL
7800,"2,2',4,4',5-pentachlorobiphenyl (PCB 99)",1571_00_00_00_14,706n1,WISKI_NGL
4423,"2,2',4,4',5-pentachlorobiphenyl (PCB 99)",1571_00_00_00_14,3685,WISKI_NGL
1841,"2,2',4,4',5-pentachlorobiphenyl (PCB 99)",1571_00_00_00_14,259,WISKI_NGL
7954,"2,2',4,4',5-pentachlorobiphenyl (PCB 99)",1571_00_00_00_14,1435,WISKI_PGL
1842,Total PCBs,1041_00_00_00_14,259,WISKI_NGL
7996,Total PCBs,1041_00_00_00_14,1435,WISKI_PGL
14369,Total PCBs,1041_00_00_00_14,4406,WISKI_PGL
4727,Total PCBs,1041_00_00_00_14,3685,WISKI_NGL
4333,Total PCBs,1041_00_00_00_14,3684,WISKI_PGL
7835,Total PCBs,1041_00_00_00_14,706n1,WISKI_NGL
61452,Total PCBs,1041_00_00_00_14,706n2,WISKI_NGL
96019,Total PCBs,1041_00_00_00_14,1947,WISKI_NGL
102487,Total PCBs,1041_00_00_00_14,2879,WISKI_NGL
102168,Total PCBs,1041_00_00_00_14,2864,WISKI_NGL
102112,Total PCBs,1041_00_00_00_14,2863,WISKI_NGL
60356,Total PCBs,1041_00_00_00_14,4300,WISKI_PGL
18158,Total PCBs,1041_00_00_00_14,673,WISKI_NGL
102586,Total PCBs,1041_00_00_00_14,2883,WISKI_NGL
1953,Dichloroprop-13C6,1649_00_00_00_01,287,PERC
1954,Dicamba-D3,1652_00_00_00_01,287,PERC
5536,Dicamba-D3,1652_00_00_00_01,3216,PERC
4817,Dicamba-D3,1652_00_00_00_01,3002,PERC
5404,Chloride,422_00_00_00_14,645,MGL
1958,Chloride,422_00_00_00_14,1891,MGL
323,Chloride,422_00_00_00_14,617,MGL
108315,Chloride,422_00_00_00_14,3561,MGL
1964,Hardness total,9177_00_00_00_14,313,MGL
1968,Nitrogen total dissolved,637_00_00_00_14,317,MGL
15860,Nitrogen total dissolved,637_00_00_00_14,4469,MGL
4739,Nitrogen total dissolved,637_00_00_00_14,2554,MGL
7655,Nitrogen total dissolved,637_00_00_00_14,300,MGL
7657,Nitrogen total dissolved,637_00_00_00_14,2606d1,MGL
106001,Nitrogen total dissolved,637_00_00_00_14,2606d2,MGL
107205,Nitrogen total dissolved,637_00_00_00_14,3447,MGL
107191,Nitrogen total dissolved,637_00_00_00_14,3435,MGL
108767,Nitrogen total dissolved,637_00_00_00_14,3591,MGL
2237,Nitrate_as N,1851_01_00_00_46,2142,MGL
6527,Nitrate_as N,1851_01_00_00_46,645d2,MGL
5407,Nitrate_as N,1851_01_00_00_46,645d1,MGL
1971,Nitrate_as N,1851_01_00_00_46,1891,MGL
1972,Sulphate,813_00_00_00_14,1891,MGL
15811,Sulphate,813_00_00_00_14,4469,MGL
5406,Sulphate,813_00_00_00_14,645,MGL
450,Sulphate,813_00_00_00_14,617,MGL
109527,Sulphate,813_00_00_00_14,3650,MGL
108316,Sulphate,813_00_00_00_14,3561,MGL
108209,Carbon dissolved inorganic,475_00_00_00_14,3554,MGL
201144,Carbon dissolved inorganic,475_00_00_00_14,2695n2,MGL
3023,Carbon dissolved inorganic,475_00_00_00_14,2695n1,MGL
6151,Carbon dissolved inorganic,475_00_00_00_14,95,MGL
6152,Carbon dissolved inorganic,475_00_00_00_14,99d1,MGL
6153,Carbon dissolved inorganic,475_00_00_00_14,99d2,MGL
6154,Carbon dissolved inorganic,475_00_00_00_14,119,MGL
6156,Carbon dissolved inorganic,475_00_00_00_14,2411,MGL
15871,Carbon dissolved inorganic,475_00_00_00_14,4469,MGL
1974,Carbon dissolved inorganic,475_00_00_00_14,3301,MGL
101252,Carbon dissolved inorganic,475_00_00_00_14,2799,MGL
100300,Carbon dissolved inorganic,475_00_00_00_14,2658,MGL
100531,Carbon total inorganic,485_00_00_00_14,2695n2,MGL
1975,Carbon total inorganic,485_00_00_00_14,3301,MGL
6051,Carbon total inorganic,485_00_00_00_14,95,MGL
3022,Carbon total inorganic,485_00_00_00_14,2695n1,MGL
108208,Carbon total inorganic,485_00_00_00_14,3554,MGL
15520,Carbon total inorganic,485_00_00_00_14,4451,MGL
2001,Odour threshold number,640_00_00_00_33,21,TONO
2011,Colour apparent,437_00_00_00_30,24,WISKI_SAR
2021,Colour true,443_00_00_00_30,24,WISKI_SAR
2024,Colour true,443_00_00_00_30,27,WISKI_SAR
2031,Redox potential,742_00_00_00_26,31,MV
2045,Conductivity theoritical,449_00_00_00_34,34,MISC
2047,Conductivity theoritical (calcd.),450_00_00_00_34,2355,MISC
2051,Specific conductance ambient temperature,818_00_00_00_34,37,MISC
2066,Temperature water (EBT),842_00_00_00_10,43,DEGC
2071,Turbidity,864_00_00_00_16,44,WISKI_JTU
2072,Turbidity,864_00_00_00_16,45,WISKI_JTU
2073,Turbidity,864_00_00_00_16,46,WISKI_JTU
2075,Turbidity light penetration Secchi disc,866_00_00_00_20,48,M
2076,Turbidity light penetration Secchi disc,866_00_00_00_20,49,M
2078,Turbidity light penetration Secchi disc,866_00_00_00_20,51,M
2077,Turbidity formazin,865_00_00_00_12,46,WISKI_FTU
2088,Methyl mercury,1311_00_00_01_02,3027,WISKI_NGG
109752,Methyl mercury,1311_00_00_00_14,3657,WISKI_NGL
111116,Methyl mercury,1311_00_00_00_14,3000,WISKI_NGL
109750,Methyl mercury,1311_00_00_00_14,3735,WISKI_NGL
110798,Methyl mercury,1311_00_00_00_14,4047,WISKI_NGL
15869,Methyl mercury,1311_00_00_00_14,4469,WISKI_NGL
5893,Methyl mercury,1311_00_00_00_14,244,WISKI_NGL
103216,Mercury total,549_00_00_01_02,2937,MIGG
80050,Mercury total,549_00_00_01_02,1599,MIGG
110300,Mercury total,549_00_00_01_02,4013,MIGG
110286,Mercury total,549_00_00_01_02,4010,MGKG
109459,Mercury total,549_00_00_01_02,3643u2,MGKG
2092,Mercury total,549_00_00_01_02,3643u1,WISKI_NGG
2094,Dissolved methyl mercury (MeHg),1310_00_00_00_14,3657,WISKI_NGL
6014,Dissolved methyl mercury (MeHg),1310_00_00_00_14,3233,WISKI_NGL
2232,Gran alkalinity (as H+),1657_00_00_00_21,2133,MEL
2233,Nitrate and nitrite_as N,1658_01_00_00_46,2134,MGL
6529,Nitrate and nitrite_as N,1658_01_00_00_46,645d2,MGL
5409,Nitrate and nitrite_as N,1658_01_00_00_46,645d1,MGL
47601,Nitrate and nitrite_as N,1658_01_00_00_46,3687,MGL
5068,Total dissolved solids (filterable residue),836_00_00_00_14,2139,MGL
15830,Total dissolved solids (filterable residue),836_00_00_00_14,4469,MGL
207,Total dissolved solids (filterable residue),836_00_00_00_14,14,MGL
2239,Total dissolved solids (filterable residue),836_00_00_00_14,2148,MGL
2241,Calcium dissolved,2695_00_00_00_14,2432,UT
108718,Calcium dissolved,2695_00_00_00_14,3584,MGL
100792,Calcium dissolved,2695_00_00_00_14,2725,MGL
100785,Magnesium dissolved,2696_00_00_00_14,2725,MGL
2243,Magnesium dissolved,2696_00_00_00_14,2432,UT
108733,Magnesium dissolved,2696_00_00_00_14,3584,MGL
2249,Imazapyr,1661_00_00_00_14,287,WISKI_NGL
61554,Imazapyr,1661_00_00_00_14,4352,UT
60725,Imazapyr,1661_00_00_00_14,4315,UT
2250,Imazamox,3097_00_00_00_14,287,WISKI_NGL
2251,"2,3,6-TBA",203_00_00_00_14,287,WISKI_NGL
18535,"2,3,6-TBA",203_00_00_00_14,928,UT
96944,"2,3,6-TBA",203_00_00_00_14,2343,WISKI_NGL
102177,"2,3,6-TBA",203_00_00_00_14,2865,WISKI_NGL
103644,"2,3,6-TBA",203_00_00_00_14,3002,WISKI_NGL
2253,MCPA-D6,1659_00_00_00_01,287,PERC
2254,MCPB-D6,1660_00_00_00_01,287,PERC
2285,Methamidophos,1316_00_00_00_14,2429,WISKI_NGL
106869,Methamidophos,1316_00_00_00_14,3406,WISKI_NGL
106789,Methamidophos,1316_00_00_00_14,3405,WISKI_NGL
61574,Methamidophos,1316_00_00_00_14,4352,UT
106865,Tecnazene,4117_00_00_00_14,3405,WISKI_NGL
2286,Tecnazene,4117_00_00_00_14,2429,WISKI_NGL
106945,Tecnazene,4117_00_00_00_14,3406,WISKI_NGL
110113,Phorate,172_00_00_00_14,3655,UT
2287,Phorate,172_00_00_00_14,2429,WISKI_NGL
5384,Phorate,172_00_00_00_14,303,WISKI_NGL
5500,Phorate,172_00_00_00_14,3216,WISKI_NGL
8020,Phorate,172_00_00_00_14,710,WISKI_NGL
106811,Phorate,172_00_00_00_14,3405,WISKI_NGL
106208,Phorate,172_00_00_00_14,3357,WISKI_NGL
102207,Phorate,172_00_00_00_14,2867,WISKI_NGL
100694,Phorate,172_00_00_00_14,2721,UT
80230,Phorate,172_00_00_00_14,1824,WISKI_NGL
99004,Phorate,172_00_00_00_14,2551,WISKI_NGL
18300,Phorate,172_00_00_00_14,847,UT
9189,Phorate,172_00_00_00_14,687,WISKI_NGL
60626,Phorate,172_00_00_00_14,4316,UT
49007,Hexachlorobenzene,91_00_00_00_14,3225,WISKI_PGL
17811,Hexachlorobenzene,91_00_00_00_14,718,UT
17813,Hexachlorobenzene,91_00_00_00_14,672,WISKI_NGL
17814,Hexachlorobenzene,91_00_00_00_14,673,WISKI_NGL
96001,Hexachlorobenzene,91_00_00_00_14,1947,WISKI_NGL
102092,Hexachlorobenzene,91_00_00_00_14,2863,WISKI_NGL
102151,Hexachlorobenzene,91_00_00_00_14,2864,WISKI_NGL
106875,Hexachlorobenzene,91_00_00_00_14,3406,WISKI_NGL
106795,Hexachlorobenzene,91_00_00_00_14,3405,WISKI_NGL
106665,Hexachlorobenzene,91_00_00_00_14,3401,WISKI_NGL
102469,Hexachlorobenzene,91_00_00_00_14,2879,WISKI_NGL
102568,Hexachlorobenzene,91_00_00_00_14,2883,WISKI_NGL
8023,Hexachlorobenzene,91_00_00_00_14,710,WISKI_NGL
5654,Hexachlorobenzene,91_00_00_00_14,4102,WISKI_NGL
4870,Hexachlorobenzene,91_00_00_00_14,549,WISKI_NGL
2288,Hexachlorobenzene,91_00_00_00_14,2429,WISKI_NGL
17812,Hexachlorobenzene,91_00_00_00_14,677,UT
109612,Hexachlorobenzene,91_00_00_00_14,3654,WISKI_NGL
106894,alpha-benzene hexachloride OR alpha-(hexachlorocyclohexane OR hexachlorane OR BHC OR HCH),181_00_00_00_14,3406,WISKI_NGL
61918,alpha-benzene hexachloride OR alpha-(hexachlorocyclohexane OR hexachlorane OR BHC OR HCH),181_00_00_00_14,4360,UT
2289,alpha-benzene hexachloride OR alpha-(hexachlorocyclohexane OR hexachlorane OR BHC OR HCH),181_00_00_00_14,2429,WISKI_NGL
4871,alpha-benzene hexachloride OR alpha-(hexachlorocyclohexane OR hexachlorane OR BHC OR HCH),181_00_00_00_14,549,WISKI_NGL
8021,alpha-benzene hexachloride OR alpha-(hexachlorocyclohexane OR hexachlorane OR BHC OR HCH),181_00_00_00_14,710,WISKI_NGL
102569,alpha-benzene hexachloride OR alpha-(hexachlorocyclohexane OR hexachlorane OR BHC OR HCH),181_00_00_00_14,2883,WISKI_NGL
102470,alpha-benzene hexachloride OR alpha-(hexachlorocyclohexane OR hexachlorane OR BHC OR HCH),181_00_00_00_14,2879,WISKI_NGL
106814,alpha-benzene hexachloride OR alpha-(hexachlorocyclohexane OR hexachlorane OR BHC OR HCH),181_00_00_00_14,3405,WISKI_NGL
102150,alpha-benzene hexachloride OR alpha-(hexachlorocyclohexane OR hexachlorane OR BHC OR HCH),181_00_00_00_14,2864,WISKI_NGL
102091,alpha-benzene hexachloride OR alpha-(hexachlorocyclohexane OR hexachlorane OR BHC OR HCH),181_00_00_00_14,2863,WISKI_NGL
100670,alpha-benzene hexachloride OR alpha-(hexachlorocyclohexane OR hexachlorane OR BHC OR HCH),181_00_00_00_14,2721,UT
96014,alpha-benzene hexachloride OR alpha-(hexachlorocyclohexane OR hexachlorane OR BHC OR HCH),181_00_00_00_14,1947,WISKI_NGL
18081,alpha-benzene hexachloride OR alpha-(hexachlorocyclohexane OR hexachlorane OR BHC OR HCH),181_00_00_00_14,673,WISKI_NGL
18075,alpha-benzene hexachloride OR alpha-(hexachlorocyclohexane OR hexachlorane OR BHC OR HCH),181_00_00_00_14,786,UT
48999,alpha-benzene hexachloride OR alpha-(hexachlorocyclohexane OR hexachlorane OR BHC OR HCH),181_00_00_00_14,3225,WISKI_PGL
4741,Atrazine de-ethylated,240_00_00_00_14,303,WISKI_NGL
5461,Atrazine de-ethylated,240_00_00_00_14,3216,WISKI_NGL
2290,Atrazine de-ethylated,240_00_00_00_14,2429,WISKI_NGL
9146,Atrazine de-ethylated,240_00_00_00_14,687,WISKI_NGL
2291,Terbufos,1023_00_00_00_14,2429,WISKI_NGL
5505,Terbufos,1023_00_00_00_14,3216,WISKI_NGL
5388,Terbufos,1023_00_00_00_14,303,WISKI_NGL
8028,Terbufos,1023_00_00_00_14,710,WISKI_NGL
9196,Terbufos,1023_00_00_00_14,687,WISKI_NGL
80232,Terbufos,1023_00_00_00_14,1824,WISKI_NGL
99008,Terbufos,1023_00_00_00_14,2551,WISKI_NGL
100695,Terbufos,1023_00_00_00_14,2721,UT
102209,Terbufos,1023_00_00_00_14,2867,WISKI_NGL
106846,Terbufos,1023_00_00_00_14,3405,WISKI_NGL
106210,Terbufos,1023_00_00_00_14,3357,WISKI_NGL
106926,Terbufos,1023_00_00_00_14,3406,WISKI_NGL
49344,Pentachloronitrobenzene (Quintozene),3080_00_00_00_14,3231,WISKI_NGL
60627,Pentachloronitrobenzene (Quintozene),3080_00_00_00_14,4316,UT
2292,Pentachloronitrobenzene (Quintozene),3080_00_00_00_14,2429,WISKI_NGL
2293,Diazinon-oxon,4109_00_00_00_14,2429,WISKI_NGL
106857,Diazinon-oxon,4109_00_00_00_14,3405,WISKI_NGL
106937,Diazinon-oxon,4109_00_00_00_14,3406,WISKI_NGL
106908,gamma-benzene hexachloride OR gamma-(hexachlorocyclohexane OR hexachlorane OR BHC OR HCH) OR Lindane,227_00_00_00_14,3406,WISKI_NGL
61920,gamma-benzene hexachloride OR gamma-(hexachlorocyclohexane OR hexachlorane OR BHC OR HCH) OR Lindane,227_00_00_00_14,4360,UT
106828,gamma-benzene hexachloride OR gamma-(hexachlorocyclohexane OR hexachlorane OR BHC OR HCH) OR Lindane,227_00_00_00_14,3405,WISKI_NGL
102471,gamma-benzene hexachloride OR gamma-(hexachlorocyclohexane OR hexachlorane OR BHC OR HCH) OR Lindane,227_00_00_00_14,2879,WISKI_NGL
102570,gamma-benzene hexachloride OR gamma-(hexachlorocyclohexane OR hexachlorane OR BHC OR HCH) OR Lindane,227_00_00_00_14,2883,WISKI_NGL
102094,gamma-benzene hexachloride OR gamma-(hexachlorocyclohexane OR hexachlorane OR BHC OR HCH) OR Lindane,227_00_00_00_14,2863,WISKI_NGL
102152,gamma-benzene hexachloride OR gamma-(hexachlorocyclohexane OR hexachlorane OR BHC OR HCH) OR Lindane,227_00_00_00_14,2864,WISKI_NGL
100672,gamma-benzene hexachloride OR gamma-(hexachlorocyclohexane OR hexachlorane OR BHC OR HCH) OR Lindane,227_00_00_00_14,2721,UT
96013,gamma-benzene hexachloride OR gamma-(hexachlorocyclohexane OR hexachlorane OR BHC OR HCH) OR Lindane,227_00_00_00_14,1947,WISKI_NGL
18083,gamma-benzene hexachloride OR gamma-(hexachlorocyclohexane OR hexachlorane OR BHC OR HCH) OR Lindane,227_00_00_00_14,673,WISKI_NGL
18070,gamma-benzene hexachloride OR gamma-(hexachlorocyclohexane OR hexachlorane OR BHC OR HCH) OR Lindane,227_00_00_00_14,718,UT
2297,gamma-benzene hexachloride OR gamma-(hexachlorocyclohexane OR hexachlorane OR BHC OR HCH) OR Lindane,227_00_00_00_14,2429,WISKI_NGL
8027,gamma-benzene hexachloride OR gamma-(hexachlorocyclohexane OR hexachlorane OR BHC OR HCH) OR Lindane,227_00_00_00_14,710,WISKI_NGL
4873,gamma-benzene hexachloride OR gamma-(hexachlorocyclohexane OR hexachlorane OR BHC OR HCH) OR Lindane,227_00_00_00_14,549,WISKI_NGL
5374,Disulfoton,174_00_00_00_14,303,WISKI_NGL
5483,Disulfoton,174_00_00_00_14,3216,WISKI_NGL
8033,Disulfoton,174_00_00_00_14,710,WISKI_NGL
2298,Disulfoton,174_00_00_00_14,2429,WISKI_NGL
9169,Disulfoton,174_00_00_00_14,687,WISKI_NGL
18215,Disulfoton,174_00_00_00_14,718,UT
99014,Disulfoton,174_00_00_00_14,2551,WISKI_NGL
80235,Disulfoton,174_00_00_00_14,1824,WISKI_NGL
100682,Disulfoton,174_00_00_00_14,2721,UT
102212,Disulfoton,174_00_00_00_14,2867,WISKI_NGL
106812,Disulfoton,174_00_00_00_14,3405,WISKI_NGL
106213,Disulfoton,174_00_00_00_14,3357,WISKI_NGL
106892,Disulfoton,174_00_00_00_14,3406,WISKI_NGL
106909,Dimethoate,234_00_00_00_14,3406,WISKI_NGL
110149,Dimethoate,234_00_00_00_14,4000,UT
61935,Dimethoate,234_00_00_00_14,4362,UT
106209,Dimethoate,234_00_00_00_14,3357,WISKI_NGL
106829,Dimethoate,234_00_00_00_14,3405,WISKI_NGL
102618,Dimethoate,234_00_00_00_14,2721,UT
102208,Dimethoate,234_00_00_00_14,2867,WISKI_NGL
80231,Dimethoate,234_00_00_00_14,1824,WISKI_NGL
61517,Dimethoate,234_00_00_00_14,4352,UT
99006,Dimethoate,234_00_00_00_14,2551,WISKI_NGL
18340,Dimethoate,234_00_00_00_14,847,UT
60687,Dimethoate,234_00_00_00_14,4315,UT
9167,Dimethoate,234_00_00_00_14,687,WISKI_NGL
2300,Dimethoate,234_00_00_00_14,2429,WISKI_NGL
8024,Dimethoate,234_00_00_00_14,710,WISKI_NGL
5481,Dimethoate,234_00_00_00_14,3216,WISKI_NGL
5372,Dimethoate,234_00_00_00_14,303,WISKI_NGL
4874,Heptachlor,281_00_00_00_14,549,WISKI_NGL
2301,Heptachlor,281_00_00_00_14,2429,WISKI_NGL
49005,Heptachlor,281_00_00_00_14,3225,WISKI_PGL
18039,Heptachlor,281_00_00_00_14,673,WISKI_NGL
18040,Heptachlor,281_00_00_00_14,718,UT
96007,Heptachlor,281_00_00_00_14,1947,WISKI_NGL
102153,Heptachlor,281_00_00_00_14,2864,WISKI_NGL
102096,Heptachlor,281_00_00_00_14,2863,WISKI_NGL
102571,Heptachlor,281_00_00_00_14,2883,WISKI_NGL
102472,Heptachlor,281_00_00_00_14,2879,WISKI_NGL
106839,Heptachlor,281_00_00_00_14,3405,WISKI_NGL
106666,Heptachlor,281_00_00_00_14,3401,WISKI_NGL
109616,Heptachlor,281_00_00_00_14,3654,WISKI_NGL
106919,Heptachlor,281_00_00_00_14,3406,WISKI_NGL
61917,Heptachlor,281_00_00_00_14,4360,UT
106895,beta-benzene hexachloride OR beta-(hexachlorocyclohexane OR hexachlorane OR BHC OR HCH),182_00_00_00_14,3406,WISKI_NGL
109634,beta-benzene hexachloride OR beta-(hexachlorocyclohexane OR hexachlorane OR BHC OR HCH),182_00_00_00_14,3654,WISKI_NGL
61919,beta-benzene hexachloride OR beta-(hexachlorocyclohexane OR hexachlorane OR BHC OR HCH),182_00_00_00_14,4360,UT
106815,beta-benzene hexachloride OR beta-(hexachlorocyclohexane OR hexachlorane OR BHC OR HCH),182_00_00_00_14,3405,WISKI_NGL
49008,beta-benzene hexachloride OR beta-(hexachlorocyclohexane OR hexachlorane OR BHC OR HCH),182_00_00_00_14,3225,WISKI_PGL
2302,beta-benzene hexachloride OR beta-(hexachlorocyclohexane OR hexachlorane OR BHC OR HCH),182_00_00_00_14,2429,WISKI_NGL
4872,beta-benzene hexachloride OR beta-(hexachlorocyclohexane OR hexachlorane OR BHC OR HCH),182_00_00_00_14,549,WISKI_NGL
5197,delta-benzene hexachloride OR delta-(hexachlorocyclohexane OR hexachlorane OR BHC OR HCH),2679_00_00_00_14,549,WISKI_NGL
2303,delta-benzene hexachloride OR delta-(hexachlorocyclohexane OR hexachlorane OR BHC OR HCH),2679_00_00_00_14,2429,WISKI_NGL
61923,delta-benzene hexachloride OR delta-(hexachlorocyclohexane OR hexachlorane OR BHC OR HCH),2679_00_00_00_14,4360,UT
106848,delta-benzene hexachloride OR delta-(hexachlorocyclohexane OR hexachlorane OR BHC OR HCH),2679_00_00_00_14,3405,WISKI_NGL
106928,delta-benzene hexachloride OR delta-(hexachlorocyclohexane OR hexachlorane OR BHC OR HCH),2679_00_00_00_14,3406,WISKI_NGL
110132,Chlorothalonil,5_00_00_00_14,4000,UT
106872,Chlorothalonil,5_00_00_00_14,3406,WISKI_NGL
106792,Chlorothalonil,5_00_00_00_14,3405,WISKI_NGL
60604,Chlorothalonil,5_00_00_00_14,4316,UT
2304,Chlorothalonil,5_00_00_00_14,2429,WISKI_NGL
9158,Chlorothalonil,5_00_00_00_14,687,WISKI_NGL
5364,Chlorothalonil,5_00_00_00_14,303,WISKI_NGL
5471,Chlorothalonil,5_00_00_00_14,3216,WISKI_NGL
2305,Chlorpyriphos-methyl,4107_00_00_00_14,2429,WISKI_NGL
106855,Chlorpyriphos-methyl,4107_00_00_00_14,3405,WISKI_NGL
106935,Chlorpyriphos-methyl,4107_00_00_00_14,3406,WISKI_NGL
106893,Aldrin,177_00_00_00_14,3406,WISKI_NGL
109617,Aldrin,177_00_00_00_14,3654,WISKI_NGL
61909,Aldrin,177_00_00_00_14,4360,UT
106813,Aldrin,177_00_00_00_14,3405,WISKI_NGL
106667,Aldrin,177_00_00_00_14,3401,WISKI_NGL
102473,Aldrin,177_00_00_00_14,2879,WISKI_NGL
102572,Aldrin,177_00_00_00_14,2883,WISKI_NGL
102097,Aldrin,177_00_00_00_14,2863,WISKI_NGL
102154,Aldrin,177_00_00_00_14,2864,WISKI_NGL
96016,Aldrin,177_00_00_00_14,1947,WISKI_NGL
