National_VMV_Code,Parameter type code,Long name,Parameter list value,Unique parameter list values
7110,628_00_00_00_14,Dissolved nitrite/nitrate,Water - Nutrients,
7260,612_00_00_01_02,Nitrogen nitrite,Sediment - Nutrients,
7422,292_00_00_00_14,Acenaphthene,Water - Hydrocarbons,
7423,148_00_00_00_14,Acenaphthylene,Water - Hydrocarbons,
7424,93_00_00_00_14,p-naphthalene,Water - Hydrocarbons,
7425,219_00_00_00_14,Benzo(a)anthracene,Water - Hydrocarbons,
7426,204_00_00_00_14,Benzo(a)pyrene,Water - Hydrocarbons,
7427,145_00_00_00_14,Benzo(b)fluoranthene,Water - Hydrocarbons,
7428,137_00_00_00_14,Benzo(e)pyrene,Water - Hydrocarbons,
7429,132_00_00_00_14,"Benzo(g,h,i)perylene",Water - Hydrocarbons,
7430,3756_00_00_00_14,"Benzo(j,k)fluoranthene",Water - Hydrocarbons,
7431,155_00_00_00_14,Benzo(a)phenanthrene OR chrysene,Water - Hydrocarbons,
7432,212_00_00_00_14,"Dibenzo(a,h)anthracene OR Dibenz(a,h)anthracene",Water - Hydrocarbons,
7433,146_00_00_00_14,Fluoranthene,Water - Hydrocarbons,
7434,303_00_00_00_14,Fluorene,Water - Hydrocarbons,
7435,140_00_00_00_14,"Indeno(1,2,3-c,d)pyrene",Water - Hydrocarbons,
7436,312_00_00_00_14,Naphthalene,Water - Hydrocarbons,
7437,141_00_00_00_14,Perylene,Water - Hydrocarbons,
7438,299_00_00_00_14,Phenanthrene,Water - Hydrocarbons,
7439,1272_00_00_00_14,Pyrene,Water - Hydrocarbons,
7440,3639_00_00_00_14,Acenaphthenes-C1,Water - Hydrocarbons,
7441,3637_00_00_00_14,Benz[a]anthracenes/chrysenes-C1,Water - Hydrocarbons,
7442,4832_00_00_00_14,Benzopyrenes/perylenes-C1,Water - Hydrocarbons,
7443,3640_00_00_00_14,Biphenyls-C1,Water - Hydrocarbons,
7444,4400_00_00_00_14,Dibenzothiophenes-C1,Water - Hydrocarbons,
7445,4401_00_00_00_14,Fluoranthenes/pyrenes-C1,Water - Hydrocarbons,
7446,1429_00_00_00_14,Naphthalenes-C1,Water - Hydrocarbons,
7447,1431_00_00_00_14,Phenanthrenes/anthracenes-C1,Water - Hydrocarbons,
7448,4066_00_00_00_14,Benzo(a)anthracenes/chrysenes-C2,Water - Hydrocarbons,
7449,4833_00_00_00_14,Benzopyrenes/perylenes-C2,Water - Hydrocarbons,
