National_VMV_Code,Parameter type code,Long name,Parameter list value,Unique parameter list values
100222,470_00_00_00_14,Copper total,Water - Metal,
100223,519_00_00_00_14,Iron total,Water - Metal,
100224,576_00_00_00_14,Lithium total,Water - Metal,
100225,591_00_00_00_14,Manganese total,Water - Metal,
100226,595_00_00_00_14,Molybdenum total,Water - Metal,
100227,610_00_00_00_14,Nickel total,Water - Metal,
100228,683_00_00_00_14,Lead total,Water - Metal,
100229,823_00_00_00_14,Strontium total,Water - Metal,
100230,878_00_00_00_14,Vanadium total,Water - Metal,
100231,890_00_00_00_14,Zinc total,Water - Metal,
100232,408_00_00_00_14,Calcium total,Water - Major Ions,
100233,585_00_00_00_14,Magnesium total,Water - Major Ions,
100234,602_00_00_00_14,Sodium total,Water - Major Ions,
100235,567_00_00_00_14,Potassium total,Water - Major Ions,
100253,376_00_00_00_14,Arsenic dissolved,Water - Metal,
100254,779_00_00_00_14,Selenium dissolved,Water - Metal,
100300,475_00_00_00_14,Carbon dissolved inorganic,Water - Carbon,
100304,2652_00_00_00_14,Nitrite and nitrate filtered,Water - Nutrients,
100306,2654_00_00_00_14,Ammonia filtered,Water - Nutrients,
100324,350_00_00_00_14,Silver total,Water - Metal,
100431,404_00_00_00_14,Calcium dissolved,Water - Major Ions,
100432,581_00_00_00_14,Magnesium dissolved,Water - Major Ions,
100433,600_00_00_00_14,Sodium dissolved/filtered,Water - Major Ions,
100434,565_00_00_00_14,Potassium dissolved/filtered,Water - Major Ions,
100499,565_00_00_00_14,Potassium dissolved/filtered,Water - Major Ions,
100500,600_00_00_00_14,Sodium dissolved/filtered,Water - Major Ions,
101401,436_00_00_00_09,Colour,Water - Physical,
102091,181_00_00_00_14,alpha-benzene hexachloride OR alpha-(hexachlorocyclohexane OR hexachlorane OR BHC OR HCH),Water - Hydrocarbons,
102092,91_00_00_00_14,Hexachlorobenzene,Water - Hydrocarbons,
102093,247_00_00_00_01,"1,2,4,5-tetrabromobenzene (1,2,4,5-TBB)",Water - Surrogate,
102094,227_00_00_00_14,gamma-benzene hexachloride OR gamma-(hexachlorocyclohexane OR hexachlorane OR BHC OR HCH) OR Lindane,Water - Pesticides,
102095,2679_00_00_00_01,delta-benzene hexachloride OR delta-(hexachlorocyclohexane OR hexachlorane OR BHC OR HCH),Water - Pesticides,
102096,281_00_00_00_14,Heptachlor,Water - Pesticides,
102097,177_00_00_00_14,Aldrin,Water - Pesticides,
102098,60_00_00_00_14,Heptachlor epoxide,Water - Pesticides,
102099,207_00_00_00_14,gamma-chlordane,Water - Pesticides,
102100,335_00_00_00_14,alpha-endosulfan,Water - Pesticides,
102101,206_00_00_00_14,alpha-chlordane,Water - Pesticides,
