National_VMV_Code,Parameter type code,Long name,Parameter list value,Unique parameter list values
102102,235_00_00_00_14,Dieldrin,Water - Pesticides,
102103,261_00_00_00_14,"p,p'-DDE (4,4'-DDE)",Water - Pesticides,
102104,258_00_00_00_14,Endrin,Water - Pesticides,
102105,187_00_00_00_14,Beta-endosulfan,Water - Pesticides,
102106,260_00_00_00_14,"p,p'-dichlorodiphenyl dichloroethane (p,p'-DDD) OR 1,2-diphenyl tetrachloroethane (4,4'-DDD)",Water - Pesticides,
102107,287_00_00_00_14,"o,p'-DDT (2,4'-DDT)",Water - Pesticides,
102108,200_00_00_00_14,"p,p'-DDT (4,4'-DDT)",Water - Pesticides,
102109,643_00_00_00_01,Endrin ketone as a surrogate,Water - Surrogate,
102110,259_00_00_00_14,"p,p'-methoxychlor (methoxychlor)",Water - Pesticides,
102111,165_00_00_00_14,Mirex,Water - Pesticides,
102122,237_00_00_00_14,Pentachlorobenzene,Water - Hydrocarbons,
102123,327_00_00_00_14,Indene,Water - Hydrocarbons,
102124,92_00_00_00_14,Tetrahydronaphthalene,Water - Hydrocarbons,
102125,312_00_00_00_14,Naphthalene,Water - Hydrocarbons,
102126,314_00_00_00_14,2-methylnaphthalene,Water - Hydrocarbons,
102127,311_00_00_00_14,1-methylnaphthalene,Water - Hydrocarbons,
102128,315_00_00_00_14,2-chloronaphthalene,Water - Hydrocarbons,
102129,148_00_00_00_14,Acenaphthylene,Water - Hydrocarbons,
102130,292_00_00_00_14,Acenaphthene,Water - Hydrocarbons,
102131,303_00_00_00_14,Fluorene,Water - Hydrocarbons,
102132,299_00_00_00_14,Phenanthrene,Water - Hydrocarbons,
102133,93_00_00_00_14,p-naphthalene,Water - Hydrocarbons,
102134,146_00_00_00_14,Fluoranthene,Water - Hydrocarbons,
102135,1272_00_00_00_14,Pyrene,Water - Hydrocarbons,
102136,219_00_00_00_14,Benzo(a)anthracene,Water - Hydrocarbons,
102137,155_00_00_00_14,Benzo(a)phenanthrene OR chrysene,Water - Hydrocarbons,
102138,145_00_00_00_14,Benzo(b)fluoranthene,Water - Hydrocarbons,
102139,147_00_00_00_14,Benzo(k)fluoranthene,Water - Hydrocarbons,
102140,137_00_00_00_14,Benzo(e)pyrene,Water - Hydrocarbons,
102141,204_00_00_00_14,Benzo(a)pyrene,Water - Hydrocarbons,
102142,141_00_00_00_14,Perylene,Water - Hydrocarbons,
102143,140_00_00_00_14,"Indeno(1,2,3-c,d)pyrene",Water - Hydrocarbons,
102144,212_00_00_00_14,"Dibenzo(a,h)anthracene OR Dibenz(a,h)anthracene",Water - Hydrocarbons,
102145,132_00_00_00_14,"Benzo(g,h,i)perylene",Water - Hydrocarbons,
102146,3037_00_00_00_01,Naphthalene-D8,Water - Surrogate,
102147,3038_00_00_00_01,Fluorene-D10,Water - Surrogate,
102148,3039_00_00_00_01,Pyrene-D10,Water - Surrogate,
102615,628_00_00_00_14,Dissolved nitrite/nitrate,Water - Nutrients,
106000,2653_00_00_00_14,Nitrite and nitrate unfiltered,Water - Nutrients,
106001,637_00_00_00_14,Nitrogen total dissolved,Water - Nutrients,
106002,687_00_00_00_29,pH,Water - Physical,
106003,864_00_00_00_28,Turbidity,Water - Physical,
106004,745_00_00_00_14,Residue filterable,Water - Physical,
106005,749_00_00_00_14,Residue nonfilterable,Water - Physical,
106006,731_00_00_00_14,Phosphorus total dissolved,Water - Nutrients,
106007,730_00_00_00_14,Phosphorus total,Water - Nutrients,
106008,478_00_00_00_14,Carbon dissolved organic,Water - Carbon,
106014,426_00_00_00_14,Chloride dissolved,Water - Major Ions,
106016,532_00_00_00_14,Fluoride dissolved,Water - Major Ions,
106017,615_00_00_00_14,Dissolved nitrogen nitrate,Water - Nutrients,
106018,613_00_00_00_14,Nitrogen dissolved nitrite,Water - Nutrients,
106153,306_00_00_00_14,Hexachlorobutadiene,Water - Hydrocarbons,
106154,4044_00_00_00_14,b-hexachlorocyclohexane (B-HCH),Water - Pesticides,
106155,4045_00_00_00_14,Pentachloroanisole,Water - Hydrocarbons,
106156,1047_00_00_00_14,Oxychlordane,Water - Pesticides,
106157,192_00_00_00_14,"o,p'-DDE (2,4'-DDE)",Water - Pesticides,
106158,211_00_00_00_14,"o,p'-DDD (mitotane) (2,4'-DDD)",Water - Pesticides,
106159,2852_00_00_00_14,trans-nonachlor,Water - Pesticides,
106160,4046_00_00_00_14,cis-nonachlor,Water - Pesticides,
107055,635_00_00_00_14,Nitrogen total,Water - Nutrients,
107056,443_00_00_00_41,Colour true,Water - Physical,
107200,635_00_00_00_14,Nitrogen total,Water - Nutrients,
107205,637_00_00_00_14,Nitrogen total dissolved,Water - Nutrients,
107904,350_00_00_00_14,Silver total,Water - Metal,
107905,373_00_00_00_14,Aluminum total,Water - Metal,
107906,379_00_00_00_14,Arsenic total,Water - Metal,
107907,401_00_00_00_14,Boron total,Water - Metal,
107908,388_00_00_00_14,Barium total,Water - Metal,
107909,393_00_00_00_14,Beryllium total,Water - Metal,
107910,1049_00_00_00_14,Bismuth total,Water - Metal,
107911,412_00_00_00_14,Cadmium total,Water - Metal,
107912,1002_00_00_00_14,Cerium total,Water - Metal,
107913,456_00_00_00_14,Cobalt total,Water - Metal,
107914,463_00_00_00_14,Chromium total,Water - Metal,
107915,1003_00_00_00_14,Cesium total,Water - Metal,
107916,470_00_00_00_14,Copper total,Water - Metal,
107917,519_00_00_00_14,Iron total,Water - Metal,
107918,3135_00_00_00_14,Gallium total,Water - Metal,
107919,1006_00_00_00_14,Lanthanum total,Water - Metal,
107920,576_00_00_00_14,Lithium total,Water - Metal,
107921,591_00_00_00_14,Manganese total,Water - Metal,
107922,595_00_00_00_14,Molybdenum total,Water - Metal,
107923,3334_00_00_00_14,Niobium total,Water - Metal,
107924,610_00_00_00_14,Nickel total,Water - Metal,
107925,683_00_00_00_14,Lead total,Water - Metal,
107927,3335_00_00_00_14,Platinum total,Water - Metal,
107928,1008_00_00_00_14,Rubidium total,Water - Metal,
107929,766_00_00_00_14,Antimony total,Water - Metal,
107930,782_00_00_00_14,Selenium total,Water - Metal,
107931,812_00_00_00_14,Tin total,Water - Metal,
107932,823_00_00_00_14,Strontium total,Water - Metal,
107933,858_00_00_00_14,Titanium total,Water - Metal,
107934,861_00_00_00_14,Thallium total,Water - Metal,
107935,2725_00_00_00_14,Uranium total,Water - Metal,
107936,878_00_00_00_14,Vanadium total,Water - Metal,
107937,1013_00_00_00_14,Tungsten total,Water - Metal,
107938,3336_00_00_00_14,Yttrium total,Water - Metal,
107939,890_00_00_00_14,Zinc total,Water - Metal,
107940,348_00_00_00_14,Silver dissolved,Water - Metal,
107941,370_00_00_00_14,Aluminum dissolved,Water - Metal,
107942,376_00_00_00_14,Arsenic dissolved,Water - Metal,
107943,399_00_00_00_14,Boron dissolved,Water - Metal,
107944,386_00_00_00_14,Barium dissolved,Water - Metal,
107945,391_00_00_00_14,Beryllium dissolved,Water - Metal,
107946,1050_00_00_00_14,Bismuth dissolved,Water - Metal,
107947,409_00_00_00_14,Cadmium dissolved,Water - Metal,
107948,3327_00_00_00_14,Cerium dissolved,Water - Metal,
107949,453_00_00_00_14,Cobalt dissolved,Water - Metal,
107950,460_00_00_00_14,Chromium dissolved,Water - Metal,
107951,2634_00_00_00_14,Cesium dissolved,Water - Metal,
107952,467_00_00_00_14,Copper dissolved,Water - Metal,
107953,516_00_00_00_14,Iron dissolved,Water - Metal,
107954,2840_00_00_00_14,Gallium dissolved,Water - Metal,
107955,2842_00_00_00_14,Lanthanum dissolved,Water - Metal,
107956,574_00_00_00_14,Lithium dissolved,Water - Metal,
107957,588_00_00_00_14,Manganese dissolved,Water - Metal,
107958,593_00_00_00_14,Molybdenum dissolved,Water - Metal,
107959,3328_00_00_00_14,Niobium dissolved,Water - Metal,
107960,607_00_00_00_14,Nickel dissolved,Water - Metal,
107961,678_00_00_00_14,Lead dissolved,Water - Metal,
107963,3329_00_00_00_14,Platinum dissolved,Water - Metal,
107964,2632_00_00_00_14,Rubidium dissolved,Water - Metal,
107965,763_00_00_00_14,Antimony dissolved,Water - Metal,
107966,779_00_00_00_14,Selenium dissolved,Water - Metal,
107967,810_00_00_00_14,Tin dissolved,Water - Metal,
107968,819_00_00_00_14,Strontium dissolved,Water - Metal,
107969,856_00_00_00_14,Titanium dissolved,Water - Metal,
107970,859_00_00_00_14,Thallium dissolved,Water - Metal,
107971,872_00_00_00_14,Uranium dissolved,Water - Metal,
107972,876_00_00_00_14,Vanadium dissolved,Water - Metal,
107973,2700_00_00_00_14,Tungsten dissolved,Water - Metal,
107974,3330_00_00_00_14,Yttrium dissolved,Water - Metal,
107975,887_00_00_00_14,Zinc dissolved,Water - Metal,
108310,532_00_00_00_14,Fluoride dissolved,Water - Major Ions,
108311,426_00_00_00_14,Chloride dissolved,Water - Major Ions,
108312,814_00_00_00_14,Sulphate dissolved,Water - Major Ions,
109026,1040_00_00_00_29,pH (Field),Water - Physical,
109027,3357_00_00_00_34,Conductance (field),Water - Physical,
109028,840_00_00_00_10,Temperature water (field),Water - Physical,
109109,404_00_00_00_14,Calcium dissolved,Water - Major Ions,
109110,565_00_00_00_14,Potassium dissolved/filtered,Water - Major Ions,
109111,581_00_00_00_14,Magnesium dissolved,Water - Major Ions,
109112,600_00_00_00_14,Sodium dissolved/filtered,Water - Major Ions,
109113,3540_00_00_00_14,Silica soluble reactive,Water - Major Ions,
110001,3469_00_00_00_28,Turbidity (field),Water - Descriptive,
